source,target,relation_detail,weight,source_name,source_bio,target_name,target_bio
8,21,friendship,2,Fleur Delacour,Participated in the Triwizard tournament and married Bill Weasley.,Hermione Granger,One of Harry's best friend and marries Ron Weasley.
8,25,enmity,3,Fleur Delacour,Participated in the Triwizard tournament and married Bill Weasley.,Bellatrix Lestrange,Death Eater who was killed by Molly Weasley.
8,28,friendship,2,Fleur Delacour,Participated in the Triwizard tournament and married Bill Weasley.,Neville Longbottom,Gryffindor student who was a member of Dumbledore's army.
8,37,friendship,2,Fleur Delacour,Participated in the Triwizard tournament and married Bill Weasley.,"Alastor ""Mad-Eye"" Moody",Retired auror and member of the order of the Phoenix. Killed by Voldemort.
8,39,friendship,2,Fleur Delacour,Participated in the Triwizard tournament and married Bill Weasley.,Harry Potter,The boy who lived. Main character of the series.
8,51,family,4,Fleur Delacour,Participated in the Triwizard tournament and married Bill Weasley.,Bill Weasley,Oldest son of Arthur and Molly. Husband of Fleur. 
8,55,family,4,Fleur Delacour,Participated in the Triwizard tournament and married Bill Weasley.,Ginny Weasley,Marries Harry Potter and only daughter of Molly and Arthur.
8,56,family,4,Fleur Delacour,Participated in the Triwizard tournament and married Bill Weasley.,Molly Weasley,Wife of Arthur and mother of the Weasleys. Kills Bellatrix.
8,58,friendship,2,Fleur Delacour,Participated in the Triwizard tournament and married Bill Weasley.,Ron Weasley,Harry's best friend. Marries Hermione.
9,3,friendship,2,Cedric Diggory,Participated in the Triwizard tournament and got killed by Voldemort.,Cho Chang,Ravenclaw student who dated Cedric Diggory and Harry Potter.
9,39,friendship,2,Cedric Diggory,Participated in the Triwizard tournament and got killed by Voldemort.,Harry Potter,The boy who lived. Main character of the series.
9,45,enmity,3,Cedric Diggory,Participated in the Triwizard tournament and got killed by Voldemort.,Lord Voldemort,The antagonist of the series who murdered many.
10,11,family,4,Alberforth Dumbledore,Albus' brother and owner of Hog's Head.,Albus Dumbledore,Headmaster of Hogwards killed by Snape.
10,21,family,4,Alberforth Dumbledore,Albus' brother and owner of Hog's Head.,Hermione Granger,One of Harry's best friend and marries Ron Weasley.
10,39,family,4,Alberforth Dumbledore,Albus' brother and owner of Hog's Head.,Harry Potter,The boy who lived. Main character of the series.
10,58,family,4,Alberforth Dumbledore,Albus' brother and owner of Hog's Head.,Ron Weasley,Harry's best friend. Marries Hermione.
10,59,family,4,Alberforth Dumbledore,Albus' brother and owner of Hog's Head.,Dobby,House elf and friend of Harry. He is killed by Bellatrix.
11,1,family,4,Albus Dumbledore,Headmaster of Hogwards killed by Snape.,Sirius Black,Best friend of James Potter and godfather of Harry.
11,10,family,4,Albus Dumbledore,Headmaster of Hogwards killed by Snape.,Alberforth Dumbledore,Albus' brother and owner of Hog's Head.
11,13,family,4,Albus Dumbledore,Headmaster of Hogwards killed by Snape.,Petunia Dursley,Harry's aunt and sister of Lily.
11,14,enmity,3,Albus Dumbledore,Headmaster of Hogwards killed by Snape.,Vernon Dursley,Harry's muggle uncle.
11,21,friendship,2,Albus Dumbledore,Headmaster of Hogwards killed by Snape.,Hermione Granger,One of Harry's best friend and marries Ron Weasley.
11,22,friendship,2,Albus Dumbledore,Headmaster of Hogwards killed by Snape.,Rubeus Hagrid,Half-giant who loves Harry. He was the keeper of Keys and Grounds at Hogwards.
11,25,enmity,3,Albus Dumbledore,Headmaster of Hogwards killed by Snape.,Bellatrix Lestrange,Death Eater who was killed by Molly Weasley.
11,31,friendship,2,Albus Dumbledore,Headmaster of Hogwards killed by Snape.,Remus Lupin,Friend of James Potter and werewolf. He married Nymphadora.
11,36,friendship,2,Albus Dumbledore,Headmaster of Hogwards killed by Snape.,Minerva McGonagall,Professor of Transfiguration and head of Gryffindor.
11,36,friendship,2,Albus Dumbledore,Headmaster of Hogwards killed by Snape.,Minerva McGonagall,Professor of Transfiguration and head of Gryffindor.
11,37,friendship,2,Albus Dumbledore,Headmaster of Hogwards killed by Snape.,"Alastor ""Mad-Eye"" Moody",Retired auror and member of the order of the Phoenix. Killed by Voldemort.
11,38,enmity,3,Albus Dumbledore,Headmaster of Hogwards killed by Snape.,Peter Pettigrew,Betrays James and Lily Potter. Follower of Voldemort.
11,39,friendship,2,Albus Dumbledore,Headmaster of Hogwards killed by Snape.,Harry Potter,The boy who lived. Main character of the series.
11,40,family,4,Albus Dumbledore,Headmaster of Hogwards killed by Snape.,James Potter,Father of Harry. Murdered by Voldemort.
11,41,family,4,Albus Dumbledore,Headmaster of Hogwards killed by Snape.,Lily Potter,Mother of Harry. Murdered by Voldemort.
11,42,enmity,3,Albus Dumbledore,Headmaster of Hogwards killed by Snape.,Quirinus Quirrell,Possessed by Voldemort. Defence against the Dark Arts professor.
11,45,enmity,3,Albus Dumbledore,Headmaster of Hogwards killed by Snape.,Lord Voldemort,The antagonist of the series who murdered many.
11,46,enmity,3,Albus Dumbledore,Headmaster of Hogwards killed by Snape.,Rita Skeeter,Reporter at the Daily Prophet.
11,47,friendship,2,Albus Dumbledore,Headmaster of Hogwards killed by Snape.,Severus Snape,Head of the Slytherin house and saved Harry in many occasions.
11,49,enmity,3,Albus Dumbledore,Headmaster of Hogwards killed by Snape.,Dolores Janes Umbridge,Senior undersecretary to the Ministry of Magic. Eventually sent to Azkaban.
11,49,enmity,3,Albus Dumbledore,Headmaster of Hogwards killed by Snape.,Dolores Janes Umbridge,Senior undersecretary to the Ministry of Magic. Eventually sent to Azkaban.
11,50,family,4,Albus Dumbledore,Headmaster of Hogwards killed by Snape.,Arthur Weasley,Father of the Weasleys and member of the Order of the Phoenix.
11,51,family,4,Albus Dumbledore,Headmaster of Hogwards killed by Snape.,Bill Weasley,Oldest son of Arthur and Molly. Husband of Fleur. 
11,52,family,4,Albus Dumbledore,Headmaster of Hogwards killed by Snape.,Charlie Weasley,Second son of Arthur and Molly. Works with dragons in Romania.
11,53,friendship,2,Albus Dumbledore,Headmaster of Hogwards killed by Snape.,Fred Weasley,Identical twin with George and co-owner of Weasleys' Wizard Wheezes
11,54,friendship,2,Albus Dumbledore,Headmaster of Hogwards killed by Snape.,George Weasley,Identical twin with Fred and co-owner of Weasleys' Wizard Wheezes
11,55,family,4,Albus Dumbledore,Headmaster of Hogwards killed by Snape.,Ginny Weasley,Marries Harry Potter and only daughter of Molly and Arthur.
11,56,family,4,Albus Dumbledore,Headmaster of Hogwards killed by Snape.,Molly Weasley,Wife of Arthur and mother of the Weasleys. Kills Bellatrix.
11,57,family,4,Albus Dumbledore,Headmaster of Hogwards killed by Snape.,Percy Weasley,Third son of Arthur and Molly. He is a Gryffindor prefect.
11,58,friendship,2,Albus Dumbledore,Headmaster of Hogwards killed by Snape.,Ron Weasley,Harry's best friend. Marries Hermione.
12,14,family,4,Dudley Dursley,Muggle son of Vernon and Petunia and first-cousin of Harry.,Vernon Dursley,Harry's muggle uncle.
12,39,family,4,Dudley Dursley,Muggle son of Vernon and Petunia and first-cousin of Harry.,Harry Potter,The boy who lived. Main character of the series.
12,22,family,4,Dudley Dursley,Muggle son of Vernon and Petunia and first-cousin of Harry.,Rubeus Hagrid,Half-giant who loves Harry. He was the keeper of Keys and Grounds at Hogwards.
13,11,family,4,Petunia Dursley,Harry's aunt and sister of Lily.,Albus Dumbledore,Headmaster of Hogwards killed by Snape.
13,12,family,4,Petunia Dursley,Harry's aunt and sister of Lily.,Dudley Dursley,Muggle son of Vernon and Petunia and first-cousin of Harry.
13,39,family,4,Petunia Dursley,Harry's aunt and sister of Lily.,Harry Potter,The boy who lived. Main character of the series.
13,41,family,4,Petunia Dursley,Harry's aunt and sister of Lily.,Lily Potter,Mother of Harry. Murdered by Voldemort.
14,11,enmity,3,Vernon Dursley,Harry's muggle uncle.,Albus Dumbledore,Headmaster of Hogwards killed by Snape.
14,12,family,4,Vernon Dursley,Harry's muggle uncle.,Dudley Dursley,Muggle son of Vernon and Petunia and first-cousin of Harry.
14,13,family,4,Vernon Dursley,Harry's muggle uncle.,Petunia Dursley,Harry's aunt and sister of Lily.
14,39,enmity,3,Vernon Dursley,Harry's muggle uncle.,Harry Potter,The boy who lived. Main character of the series.
15,1,family,4,Argus Filch,Squib caretake of Hogwards.,Sirius Black,Best friend of James Potter and godfather of Harry.
15,11,friendship,2,Argus Filch,Squib caretake of Hogwards.,Albus Dumbledore,Headmaster of Hogwards killed by Snape.
15,22,enmity,3,Argus Filch,Squib caretake of Hogwards.,Rubeus Hagrid,Half-giant who loves Harry. He was the keeper of Keys and Grounds at Hogwards.
15,36,enmity,3,Argus Filch,Squib caretake of Hogwards.,Minerva McGonagall,Professor of Transfiguration and head of Gryffindor.
15,38,enmity,3,Argus Filch,Squib caretake of Hogwards.,Peter Pettigrew,Betrays James and Lily Potter. Follower of Voldemort.
15,39,enmity,3,Argus Filch,Squib caretake of Hogwards.,Harry Potter,The boy who lived. Main character of the series.
15,40,family,4,Argus Filch,Squib caretake of Hogwards.,James Potter,Father of Harry. Murdered by Voldemort.
15,47,friendship,2,Argus Filch,Squib caretake of Hogwards.,Severus Snape,Head of the Slytherin house and saved Harry in many occasions.
15,49,friendship,2,Argus Filch,Squib caretake of Hogwards.,Dolores Janes Umbridge,Senior undersecretary to the Ministry of Magic. Eventually sent to Azkaban.
15,53,enmity,3,Argus Filch,Squib caretake of Hogwards.,Fred Weasley,Identical twin with George and co-owner of Weasleys' Wizard Wheezes
15,54,enmity,3,Argus Filch,Squib caretake of Hogwards.,George Weasley,Identical twin with Fred and co-owner of Weasleys' Wizard Wheezes
16,2,friendship,2,Seamus Finnigan,Harry's friend and member of Dumbledore's army.,Lavender Brown,Killed by a werewolf. She was a gryffindor student who dated Ron. 
16,3,friendship,2,Seamus Finnigan,Harry's friend and member of Dumbledore's army.,Cho Chang,Ravenclaw student who dated Cedric Diggory and Harry Potter.
16,21,friendship,2,Seamus Finnigan,Harry's friend and member of Dumbledore's army.,Hermione Granger,One of Harry's best friend and marries Ron Weasley.
16,28,friendship,2,Seamus Finnigan,Harry's friend and member of Dumbledore's army.,Neville Longbottom,Gryffindor student who was a member of Dumbledore's army.
16,29,friendship,2,Seamus Finnigan,Harry's friend and member of Dumbledore's army.,Luna Lovegood,Ravenclaw student who was a member of Dumbledore's army.
16,39,friendship,2,Seamus Finnigan,Harry's friend and member of Dumbledore's army.,Harry Potter,The boy who lived. Main character of the series.
16,55,family,4,Seamus Finnigan,Harry's friend and member of Dumbledore's army.,Ginny Weasley,Marries Harry Potter and only daughter of Molly and Arthur.
16,58,friendship,2,Seamus Finnigan,Harry's friend and member of Dumbledore's army.,Ron Weasley,Harry's best friend. Marries Hermione.
17,11,friendship,2,Nicolas Flamel,Creator of the Philosopher's Stone.,Albus Dumbledore,Headmaster of Hogwards killed by Snape.
18,11,enmity,3,Cornelius Fudge,Minister of Magic that was forced to resign.,Albus Dumbledore,Headmaster of Hogwards killed by Snape.
18,33,family,4,Cornelius Fudge,Minister of Magic that was forced to resign.,Lucius Malfoy,Father of Draco and influential Death-Eater.
18,39,enmity,3,Cornelius Fudge,Minister of Magic that was forced to resign.,Harry Potter,The boy who lived. Main character of the series.
18,49,friendship,2,Cornelius Fudge,Minister of Magic that was forced to resign.,Dolores Janes Umbridge,Senior undersecretary to the Ministry of Magic. Eventually sent to Azkaban.
18,50,family,4,Cornelius Fudge,Minister of Magic that was forced to resign.,Arthur Weasley,Father of the Weasleys and member of the Order of the Phoenix.
18,57,family,4,Cornelius Fudge,Minister of Magic that was forced to resign.,Percy Weasley,Third son of Arthur and Molly. He is a Gryffindor prefect.
19,4,family,4,Goyle Sr.,Death Eater and father of Gregory Goyle.,Vincent Crabbe Sr.,Father of Crabbe and death-eater who escaped Azkaban.
19,20,family,4,Goyle Sr.,Death Eater and father of Gregory Goyle.,Gregory Goyle,Best friend of Crabbe. Slytherin student and dies by falling into Fiendfyre.
19,45,family,4,Goyle Sr.,Death Eater and father of Gregory Goyle.,Lord Voldemort,The antagonist of the series who murdered many.
20,19,family,4,Gregory Goyle,Best friend of Crabbe. Slytherin student and dies by falling into Fiendfyre.,Goyle Sr.,Death Eater and father of Gregory Goyle.
20,5,friendship,2,Gregory Goyle,Best friend of Crabbe. Slytherin student and dies by falling into Fiendfyre.,Vincent Crabbe,Slytherin student who was best friends with Goyle and followed Draco.
20,32,friendship,2,Gregory Goyle,Best friend of Crabbe. Slytherin student and dies by falling into Fiendfyre.,Draco Malfoy,Slytherin student who had many arguments with Harry.
20,39,enmity,3,Gregory Goyle,Best friend of Crabbe. Slytherin student and dies by falling into Fiendfyre.,Harry Potter,The boy who lived. Main character of the series.
20,45,friendship,2,Gregory Goyle,Best friend of Crabbe. Slytherin student and dies by falling into Fiendfyre.,Lord Voldemort,The antagonist of the series who murdered many.
21,39,friendship,2,Hermione Granger,One of Harry's best friend and marries Ron Weasley.,Harry Potter,The boy who lived. Main character of the series.
21,58,friendship,2,Hermione Granger,One of Harry's best friend and marries Ron Weasley.,Ron Weasley,Harry's best friend. Marries Hermione.
21,54,friendship,2,Hermione Granger,One of Harry's best friend and marries Ron Weasley.,George Weasley,Identical twin with Fred and co-owner of Weasleys' Wizard Wheezes
21,56,family,4,Hermione Granger,One of Harry's best friend and marries Ron Weasley.,Molly Weasley,Wife of Arthur and mother of the Weasleys. Kills Bellatrix.
21,47,friendship,2,Hermione Granger,One of Harry's best friend and marries Ron Weasley.,Severus Snape,Head of the Slytherin house and saved Harry in many occasions.
21,29,friendship,2,Hermione Granger,One of Harry's best friend and marries Ron Weasley.,Luna Lovegood,Ravenclaw student who was a member of Dumbledore's army.
21,28,friendship,2,Hermione Granger,One of Harry's best friend and marries Ron Weasley.,Neville Longbottom,Gryffindor student who was a member of Dumbledore's army.
21,45,enmity,3,Hermione Granger,One of Harry's best friend and marries Ron Weasley.,Lord Voldemort,The antagonist of the series who murdered many.
21,38,enmity,3,Hermione Granger,One of Harry's best friend and marries Ron Weasley.,Peter Pettigrew,Betrays James and Lily Potter. Follower of Voldemort.
21,32,enmity,3,Hermione Granger,One of Harry's best friend and marries Ron Weasley.,Draco Malfoy,Slytherin student who had many arguments with Harry.
21,15,enmity,3,Hermione Granger,One of Harry's best friend and marries Ron Weasley.,Argus Filch,Squib caretake of Hogwards.
21,20,enmity,3,Hermione Granger,One of Harry's best friend and marries Ron Weasley.,Gregory Goyle,Best friend of Crabbe. Slytherin student and dies by falling into Fiendfyre.
22,45,enmity,3,Rubeus Hagrid,Half-giant who loves Harry. He was the keeper of Keys and Grounds at Hogwards.,Lord Voldemort,The antagonist of the series who murdered many.
22,60,friendship,2,Rubeus Hagrid,Half-giant who loves Harry. He was the keeper of Keys and Grounds at Hogwards.,Fluffy,Three-headed dog belonging to Rubeus Hagrid.
22,63,friendship,2,Rubeus Hagrid,Half-giant who loves Harry. He was the keeper of Keys and Grounds at Hogwards.,Aragog,Acromantula belonging to Rubeus Hagrid.
22,64,family,4,Rubeus Hagrid,Half-giant who loves Harry. He was the keeper of Keys and Grounds at Hogwards.,Grawp,Giant-half brother of Hagrid.
22,58,friendship,2,Rubeus Hagrid,Half-giant who loves Harry. He was the keeper of Keys and Grounds at Hogwards.,Ron Weasley,Harry's best friend. Marries Hermione.
22,21,friendship,2,Rubeus Hagrid,Half-giant who loves Harry. He was the keeper of Keys and Grounds at Hogwards.,Hermione Granger,One of Harry's best friend and marries Ron Weasley.
22,47,friendship,2,Rubeus Hagrid,Half-giant who loves Harry. He was the keeper of Keys and Grounds at Hogwards.,Severus Snape,Head of the Slytherin house and saved Harry in many occasions.
22,39,friendship,2,Rubeus Hagrid,Half-giant who loves Harry. He was the keeper of Keys and Grounds at Hogwards.,Harry Potter,The boy who lived. Main character of the series.
22,28,friendship,2,Rubeus Hagrid,Half-giant who loves Harry. He was the keeper of Keys and Grounds at Hogwards.,Neville Longbottom,Gryffindor student who was a member of Dumbledore's army.
22,35,friendship,2,Rubeus Hagrid,Half-giant who loves Harry. He was the keeper of Keys and Grounds at Hogwards.,Olympe Maxime,Half-giantess and headmistress of Beauxbatons.
22,36,friendship,2,Rubeus Hagrid,Half-giant who loves Harry. He was the keeper of Keys and Grounds at Hogwards.,Minerva McGonagall,Professor of Transfiguration and head of Gryffindor.
22,11,friendship,2,Rubeus Hagrid,Half-giant who loves Harry. He was the keeper of Keys and Grounds at Hogwards.,Albus Dumbledore,Headmaster of Hogwards killed by Snape.
23,45,enmity,3,Igor Karkaroff,Highmaster of Durmstrang and reformed death-eater.,Lord Voldemort,The antagonist of the series who murdered many.
23,24,friendship,2,Igor Karkaroff,Highmaster of Durmstrang and reformed death-eater.,Viktor Krum,Participant in the Triwizard tournament. Dated Hermione.
24,23,friendship,2,Viktor Krum,Participant in the Triwizard tournament. Dated Hermione.,Igor Karkaroff,Highmaster of Durmstrang and reformed death-eater.
24,39,friendship,2,Viktor Krum,Participant in the Triwizard tournament. Dated Hermione.,Harry Potter,The boy who lived. Main character of the series.
24,8,friendship,2,Viktor Krum,Participant in the Triwizard tournament. Dated Hermione.,Fleur Delacour,Participated in the Triwizard tournament and married Bill Weasley.
24,9,friendship,2,Viktor Krum,Participant in the Triwizard tournament. Dated Hermione.,Cedric Diggory,Participated in the Triwizard tournament and got killed by Voldemort.
24,21,friendship,2,Viktor Krum,Participant in the Triwizard tournament. Dated Hermione.,Hermione Granger,One of Harry's best friend and marries Ron Weasley.
25,45,friendship,2,Bellatrix Lestrange,Death Eater who was killed by Molly Weasley.,Lord Voldemort,The antagonist of the series who murdered many.
25,33,family,4,Bellatrix Lestrange,Death Eater who was killed by Molly Weasley.,Lucius Malfoy,Father of Draco and influential Death-Eater.
25,34,family,4,Bellatrix Lestrange,Death Eater who was killed by Molly Weasley.,Narcissa Malfoy,Mother of Draco and sister of Bellatrix.
25,1,family,4,Bellatrix Lestrange,Death Eater who was killed by Molly Weasley.,Sirius Black,Best friend of James Potter and godfather of Harry.
25,39,enmity,3,Bellatrix Lestrange,Death Eater who was killed by Molly Weasley.,Harry Potter,The boy who lived. Main character of the series.
25,48,enmity,3,Bellatrix Lestrange,Death Eater who was killed by Molly Weasley.,Nymphadora Tonks,Married Remus Lupin and was killed by Bellatrix.
25,56,family,4,Bellatrix Lestrange,Death Eater who was killed by Molly Weasley.,Molly Weasley,Wife of Arthur and mother of the Weasleys. Kills Bellatrix.
25,59,enmity,3,Bellatrix Lestrange,Death Eater who was killed by Molly Weasley.,Dobby,House elf and friend of Harry. He is killed by Bellatrix.
26,27,family,4,Alice Longbottom,Mother of Neville who was tortured by Bellatrix.,Frank Longbottom,Father of Neville who was tortured by Bellatrix.
